run_id,fold_id,run_dir,baseline_run_id,baseline_run_dir,split,delta_roc_auc,delta_roc_ci_low,delta_roc_ci_high,delta_roc_p_value,delta_pr_auc,delta_pr_ci_low,delta_pr_ci_high
A1_trailing,A,/home/mykola/repos/kaggle_clicks/runs/20251221_035159_paper_full_grid_10pct_A1_trailing_foldA,A3_trailing,/home/mykola/repos/kaggle_clicks/runs/20251221_055523_paper_full_grid_10pct_A3_trailing_foldA,test,-0.000986994688119358,-0.0013079390754958137,-0.0006660503007429024,1.6657384360740934e-09,-0.002437370216148005,-0.0038979521632711883,-0.0013097916751783159
A1_gap1,A,/home/mykola/repos/kaggle_clicks/runs/20251221_040218_paper_full_grid_10pct_A1_gap1_foldA,A3_trailing,/home/mykola/repos/kaggle_clicks/runs/20251221_055523_paper_full_grid_10pct_A3_trailing_foldA,test,-0.004158297150022694,-0.0046146073276384135,-0.0037019869724069744,0.0,-0.006597985504001373,-0.007868051560826718,-0.005181397411013279
A1_bucket,A,/home/mykola/repos/kaggle_clicks/runs/20251221_041251_paper_full_grid_10pct_A1_bucket_foldA,A3_trailing,/home/mykola/repos/kaggle_clicks/runs/20251221_055523_paper_full_grid_10pct_A3_trailing_foldA,test,-0.0038032523308224597,-0.004274403415240135,-0.0033321012464047847,0.0,-0.006383749096718532,-0.008085774724176431,-0.004647035504900765
A1_calendar,A,/home/mykola/repos/kaggle_clicks/runs/20251221_042302_paper_full_grid_10pct_A1_calendar_foldA,A3_trailing,/home/mykola/repos/kaggle_clicks/runs/20251221_055523_paper_full_grid_10pct_A3_trailing_foldA,test,-0.0014713143631092107,-0.0018325617684770957,-0.0011100669577413257,1.3322676295501878e-15,-0.0027278763971900375,-0.0038084357188641615,-0.0015073665361563736
A1_event50,A,/home/mykola/repos/kaggle_clicks/runs/20251221_043522_paper_full_grid_10pct_A1_event50_foldA,A3_trailing,/home/mykola/repos/kaggle_clicks/runs/20251221_055523_paper_full_grid_10pct_A3_trailing_foldA,test,0.00027303110117005147,-3.111595584812549e-05,0.0005771781581882284,0.07850133702241102,-0.0011548852106060576,-0.002211503263902473,-0.00014698155422249583
A2_trailing,A,/home/mykola/repos/kaggle_clicks/runs/20251221_044636_paper_full_grid_10pct_A2_trailing_foldA,A3_trailing,/home/mykola/repos/kaggle_clicks/runs/20251221_055523_paper_full_grid_10pct_A3_trailing_foldA,test,-0.003698888830972913,-0.004167687610624231,-0.003230090051321595,0.0,-0.006538763762058357,-0.008101661545712933,-0.004847751536232871
A2_gap1,A,/home/mykola/repos/kaggle_clicks/runs/20251221_045917_paper_full_grid_10pct_A2_gap1_foldA,A3_trailing,/home/mykola/repos/kaggle_clicks/runs/20251221_055523_paper_full_grid_10pct_A3_trailing_foldA,test,-0.0025566132097983862,-0.0029464484551895956,-0.002166777964407177,0.0,-0.00509956295890904,-0.006759516234842948,-0.0035890999831912625
A2_bucket,A,/home/mykola/repos/kaggle_clicks/runs/20251221_051247_paper_full_grid_10pct_A2_bucket_foldA,A3_trailing,/home/mykola/repos/kaggle_clicks/runs/20251221_055523_paper_full_grid_10pct_A3_trailing_foldA,test,-0.002636972776278168,-0.003082020778988828,-0.0021919247735675083,0.0,-0.004970492444547819,-0.0065345982032473824,-0.0036020777093992845
A2_calendar,A,/home/mykola/repos/kaggle_clicks/runs/20251221_052644_paper_full_grid_10pct_A2_calendar_foldA,A3_trailing,/home/mykola/repos/kaggle_clicks/runs/20251221_055523_paper_full_grid_10pct_A3_trailing_foldA,test,-0.0005010654106942791,-0.0008251917409197417,-0.00017693908046881665,0.002446352451293432,-0.0020241932501218144,-0.0033245051719680797,-0.0008392292888214676
A2_event50,A,/home/mykola/repos/kaggle_clicks/runs/20251221_054046_paper_full_grid_10pct_A2_event50_foldA,A3_trailing,/home/mykola/repos/kaggle_clicks/runs/20251221_055523_paper_full_grid_10pct_A3_trailing_foldA,test,6.488017245442901e-05,-0.0002546666836809982,0.00038442702858985624,0.6906690496573438,0.0001236381160971625,-0.0007862765127656463,0.0007950632387818332
A3_gap1,A,/home/mykola/repos/kaggle_clicks/runs/20251221_060734_paper_full_grid_10pct_A3_gap1_foldA,A3_trailing,/home/mykola/repos/kaggle_clicks/runs/20251221_055523_paper_full_grid_10pct_A3_trailing_foldA,test,-0.0022610026642913006,-0.002599003767621084,-0.0019230015609615172,0.0,-0.004493725242731046,-0.005772106021093645,-0.003428844327435903
A3_bucket,A,/home/mykola/repos/kaggle_clicks/runs/20251221_062108_paper_full_grid_10pct_A3_bucket_foldA,A3_trailing,/home/mykola/repos/kaggle_clicks/runs/20251221_055523_paper_full_grid_10pct_A3_trailing_foldA,test,-0.001162416472611616,-0.0014827789218170176,-0.0008420540234062143,1.1470824290427117e-12,-0.003958677725200809,-0.005526376606465262,-0.0022234488474503294
A3_calendar,A,/home/mykola/repos/kaggle_clicks/runs/20251221_063436_paper_full_grid_10pct_A3_calendar_foldA,A3_trailing,/home/mykola/repos/kaggle_clicks/runs/20251221_055523_paper_full_grid_10pct_A3_trailing_foldA,test,4.1966790195857584e-05,-0.00018025396134720427,0.00026418754173891944,0.711276139891762,-0.0013076288506462543,-0.0024010361067757975,-0.00025255240439423616
A3_event50,A,/home/mykola/repos/kaggle_clicks/runs/20251221_064852_paper_full_grid_10pct_A3_event50_foldA,A3_trailing,/home/mykola/repos/kaggle_clicks/runs/20251221_055523_paper_full_grid_10pct_A3_trailing_foldA,test,0.0003309493616583392,4.1694005228297935e-05,0.0006202047180883805,0.024930483031139872,-0.0001946229785407999,-0.0009937104621249248,0.0005531707974372352
A4_trailing,A,/home/mykola/repos/kaggle_clicks/runs/20251221_070343_paper_full_grid_10pct_A4_trailing_foldA,A3_trailing,/home/mykola/repos/kaggle_clicks/runs/20251221_055523_paper_full_grid_10pct_A3_trailing_foldA,test,-0.0027062374678331613,-0.003099426626593323,-0.0023130483090729997,0.0,-0.003615582568481649,-0.00473838429897698,-0.002427473161760727
