best_iteration,description,fold_id,returncode,run_dir,run_id,run_tag,skipped,test_pr_auc,test_roc_auc,train_pr_auc,train_roc_auc,val_pr_auc,val_roc_auc
100,"A1 trailing windows (1, 6, 24)",A,0,/home/mykola/repos/kaggle_clicks/runs/20251225_024118_paper_full_grid_1pct_noTE_A1_trailing_foldA,A1_trailing,paper_full_grid_1pct_noTE_A1_trailing_foldA,False,0.34193076434217096,0.7256680854010065,0.3586608369033227,0.7279241823287534,0.3354582705791477,0.731064984962239
193,"A1 trailing windows (1, 6, 24)",B,0,/home/mykola/repos/kaggle_clicks/runs/20251225_024118_paper_full_grid_1pct_noTE_A1_trailing_foldB,A1_trailing,paper_full_grid_1pct_noTE_A1_trailing_foldB,False,0.3332370869464973,0.7298627672020169,0.36580913594333275,0.7295496832750825,0.34541309329233394,0.7387854075126558
40,"A1 gap g=1 windows (1, 6, 24)",A,0,/home/mykola/repos/kaggle_clicks/runs/20251225_024152_paper_full_grid_1pct_noTE_A1_gap1_foldA,A1_gap1,paper_full_grid_1pct_noTE_A1_gap1_foldA,False,0.3402142924285873,0.7237987380106092,0.3524189797187098,0.7204825257523003,0.33387005313635704,0.7276716224629751
114,"A1 gap g=1 windows (1, 6, 24)",B,0,/home/mykola/repos/kaggle_clicks/runs/20251225_024158_paper_full_grid_1pct_noTE_A1_gap1_foldB,A1_gap1,paper_full_grid_1pct_noTE_A1_gap1_foldB,False,0.3300142838295239,0.727477683264973,0.35870159468686547,0.7232981358034173,0.3443137389700542,0.7354016274199637
240,"A1 bucket edges (1, 6, 24)",A,0,/home/mykola/repos/kaggle_clicks/runs/20251225_024223_paper_full_grid_1pct_noTE_A1_bucket_foldA,A1_bucket,paper_full_grid_1pct_noTE_A1_bucket_foldA,False,0.3408963852316116,0.7250256687265557,0.3677257797991024,0.7351610752113301,0.33392422406263195,0.7298829526841983
184,"A1 bucket edges (1, 6, 24)",B,0,/home/mykola/repos/kaggle_clicks/runs/20251225_024234_paper_full_grid_1pct_noTE_A1_bucket_foldB,A1_bucket,paper_full_grid_1pct_noTE_A1_bucket_foldB,False,0.3297703675807028,0.7264122556949193,0.36583420283644114,0.7296684772408883,0.34244529764849607,0.7363395007860425
164,"A1 calendar windows on trailing (1, 6, 24)",A,0,/home/mykola/repos/kaggle_clicks/runs/20251225_024310_paper_full_grid_1pct_noTE_A1_calendar_foldA,A1_calendar,paper_full_grid_1pct_noTE_A1_calendar_foldA,False,0.3439919768508351,0.7268110309769971,0.3650459726604272,0.7332843509080433,0.3367588121569201,0.7323059802986922
166,"A1 calendar windows on trailing (1, 6, 24)",B,0,/home/mykola/repos/kaggle_clicks/runs/20251225_024316_paper_full_grid_1pct_noTE_A1_calendar_foldB,A1_calendar,paper_full_grid_1pct_noTE_A1_calendar_foldB,False,0.33590177872069615,0.7323078636270158,0.3666781544472618,0.7303533306593583,0.34659282636033917,0.7393413990420867
4,A1 event windows last50,A,0,/home/mykola/repos/kaggle_clicks/runs/20251225_024355_paper_full_grid_1pct_noTE_A1_event50_foldA,A1_event50,paper_full_grid_1pct_noTE_A1_event50_foldA,False,0.33850290840482533,0.7271313748818063,0.34917285260139697,0.7218151338175188,0.33536670099053945,0.7332573125546283
103,A1 event windows last50,B,0,/home/mykola/repos/kaggle_clicks/runs/20251225_024401_paper_full_grid_1pct_noTE_A1_event50_foldB,A1_event50,paper_full_grid_1pct_noTE_A1_event50_foldB,False,0.3379854163901488,0.7359922593666397,0.3625365237005716,0.7270778889829784,0.34872321339540446,0.7436570808385559
10,"A2 trailing windows (1, 3, 6, 12, 24)",A,0,/home/mykola/repos/kaggle_clicks/runs/20251225_024427_paper_full_grid_1pct_noTE_A2_trailing_foldA,A2_trailing,paper_full_grid_1pct_noTE_A2_trailing_foldA,False,0.33669165895456754,0.7245250210167693,0.3510312980459762,0.7206297178305975,0.3321921568403466,0.7278931085450121
5,"A2 trailing windows (1, 3, 6, 12, 24)",B,0,/home/mykola/repos/kaggle_clicks/runs/20251225_024441_paper_full_grid_1pct_noTE_A2_trailing_foldB,A2_trailing,paper_full_grid_1pct_noTE_A2_trailing_foldB,False,0.32913165675376477,0.7268185542735325,0.34922564876778595,0.7161245039600848,0.3409935988192039,0.7356555581949947
14,"A2 gap g=1 windows (1, 3, 6, 12, 24)",A,0,/home/mykola/repos/kaggle_clicks/runs/20251225_024502_paper_full_grid_1pct_noTE_A2_gap1_foldA,A2_gap1,paper_full_grid_1pct_noTE_A2_gap1_foldA,False,0.3372557710137911,0.7230809231646584,0.34902422347289785,0.7184190046385662,0.33071231234134046,0.7266679983388737
23,"A2 gap g=1 windows (1, 3, 6, 12, 24)",B,0,/home/mykola/repos/kaggle_clicks/runs/20251225_024515_paper_full_grid_1pct_noTE_A2_gap1_foldB,A2_gap1,paper_full_grid_1pct_noTE_A2_gap1_foldB,False,0.327345417763148,0.7251374399897571,0.3513621720639616,0.7158938152115288,0.3414724185993776,0.7346742602944571
168,"A2 bucket edges (1, 3, 6, 12, 24)",B,0,/home/mykola/repos/kaggle_clicks/runs/20251225_024554_paper_full_grid_1pct_noTE_A2_bucket_foldB,A2_bucket,paper_full_grid_1pct_noTE_A2_bucket_foldB,False,0.33034143971534746,0.7268111749107824,0.3658695109078519,0.7300742272721197,0.3386928478463872,0.7344615865311565
399,"A2 bucket edges (1, 3, 6, 12, 24)",A,0,/home/mykola/repos/kaggle_clicks/runs/20251225_024541_paper_full_grid_1pct_noTE_A2_bucket_foldA,A2_bucket,paper_full_grid_1pct_noTE_A2_bucket_foldA,False,0.3389104330452571,0.7236511966038868,0.38148014737072605,0.7447485805039267,0.3332078404588548,0.7296783447134859
153,"A2 calendar windows on trailing (1, 3, 6, 12, 24)",A,0,/home/mykola/repos/kaggle_clicks/runs/20251225_024649_paper_full_grid_1pct_noTE_A2_calendar_foldA,A2_calendar,paper_full_grid_1pct_noTE_A2_calendar_foldA,False,0.34372048208267353,0.7264558373359422,0.3653635532616801,0.7331810439558937,0.3373370574063547,0.7323079944849784
169,"A2 calendar windows on trailing (1, 3, 6, 12, 24)",B,0,/home/mykola/repos/kaggle_clicks/runs/20251225_024653_paper_full_grid_1pct_noTE_A2_calendar_foldB,A2_calendar,paper_full_grid_1pct_noTE_A2_calendar_foldB,False,0.3335823755595737,0.7309241817945528,0.36675793094412334,0.7305066609104801,0.34556733850230426,0.739596291483847
127,A2 event windows last50,A,0,/home/mykola/repos/kaggle_clicks/runs/20251225_024743_paper_full_grid_1pct_noTE_A2_event50_foldA,A2_event50,paper_full_grid_1pct_noTE_A2_event50_foldA,False,0.34766521794242117,0.7306142099579338,0.36486937444020634,0.7331994199367936,0.3407676953146409,0.737267693439821
98,A2 event windows last50,B,0,/home/mykola/repos/kaggle_clicks/runs/20251225_024747_paper_full_grid_1pct_noTE_A2_event50_foldB,A2_event50,paper_full_grid_1pct_noTE_A2_event50_foldB,False,0.33852355117095345,0.7363987965685963,0.3628663728215788,0.7274097555865969,0.3501684033249818,0.743753100723574
38,"A3 trailing windows (1, 6, 24, 48, 168)",A,0,/home/mykola/repos/kaggle_clicks/runs/20251225_024834_paper_full_grid_1pct_noTE_A3_trailing_foldA,A3_trailing,paper_full_grid_1pct_noTE_A3_trailing_foldA,False,0.34577030355817484,0.7301742507296466,0.3618494868999743,0.7294008350794401,0.3402449912160634,0.7365500889000247
168,"A3 trailing windows (1, 6, 24, 48, 168)",B,0,/home/mykola/repos/kaggle_clicks/runs/20251225_024836_paper_full_grid_1pct_noTE_A3_trailing_foldB,A3_trailing,paper_full_grid_1pct_noTE_A3_trailing_foldB,False,0.3404261012459713,0.7376967433430182,0.3707763996272623,0.7336297346765188,0.3552208877761801,0.7472098426493734
13,"A3 gap g=1 windows (1, 6, 24, 48, 168)",A,0,/home/mykola/repos/kaggle_clicks/runs/20251225_024911_paper_full_grid_1pct_noTE_A3_gap1_foldA,A3_gap1,paper_full_grid_1pct_noTE_A3_gap1_foldA,False,0.3416862992474554,0.7284170829052139,0.3551682499095164,0.7251024340318026,0.33834398937376475,0.7336953480379196
6,"A3 gap g=1 windows (1, 6, 24, 48, 168)",B,0,/home/mykola/repos/kaggle_clicks/runs/20251225_024922_paper_full_grid_1pct_noTE_A3_gap1_foldB,A3_gap1,paper_full_grid_1pct_noTE_A3_gap1_foldB,False,0.33399623068494544,0.7331181874478732,0.35245596545071234,0.7198586378202705,0.34664683220201864,0.7436895346899391
171,"A3 bucket edges (1, 6, 24, 48, 168)",A,0,/home/mykola/repos/kaggle_clicks/runs/20251225_024951_paper_full_grid_1pct_noTE_A3_bucket_foldA,A3_bucket,paper_full_grid_1pct_noTE_A3_bucket_foldA,False,0.34588862506850265,0.7309478112243477,0.3689721771782673,0.7370201900810229,0.33986969282271157,0.7356557901890142
237,"A3 bucket edges (1, 6, 24, 48, 168)",B,0,/home/mykola/repos/kaggle_clicks/runs/20251225_025000_paper_full_grid_1pct_noTE_A3_bucket_foldB,A3_bucket,paper_full_grid_1pct_noTE_A3_bucket_foldB,False,0.3354685378304651,0.7344898970596857,0.37556571569022273,0.7374531685667007,0.34885147921320414,0.7437985912638738
36,"A3 calendar windows on trailing (1, 6, 24, 48, 168)",A,0,/home/mykola/repos/kaggle_clicks/runs/20251225_025042_paper_full_grid_1pct_noTE_A3_calendar_foldA,A3_calendar,paper_full_grid_1pct_noTE_A3_calendar_foldA,False,0.34561446795000117,0.729931429205853,0.3613001180202831,0.7292765178826914,0.341447582992613,0.7368104782845701
127,"A3 calendar windows on trailing (1, 6, 24, 48, 168)",B,0,/home/mykola/repos/kaggle_clicks/runs/20251225_025056_paper_full_grid_1pct_noTE_A3_calendar_foldB,A3_calendar,paper_full_grid_1pct_noTE_A3_calendar_foldB,False,0.33897079438657196,0.7363509025543089,0.36761938869042377,0.731464542307757,0.3544413551945136,0.747001276204458
99,A3 event windows last50,A,0,/home/mykola/repos/kaggle_clicks/runs/20251225_025126_paper_full_grid_1pct_noTE_A3_event50_foldA,A3_event50,paper_full_grid_1pct_noTE_A3_event50_foldA,False,0.3478365926619729,0.7319083062532468,0.36444707536963805,0.7333087694279529,0.3427854771880644,0.7383817026699259
26,A3 event windows last50,B,0,/home/mykola/repos/kaggle_clicks/runs/20251225_025147_paper_full_grid_1pct_noTE_A3_event50_foldB,A3_event50,paper_full_grid_1pct_noTE_A3_event50_foldB,False,0.3387151472257751,0.7362104945263526,0.35925551793019717,0.7238980387576661,0.35209891547222955,0.7451448492334296
63,"A4 trailing windows (1, 2, 4, 8, 16, 24, 48, 96, 168)",A,0,/home/mykola/repos/kaggle_clicks/runs/20251225_025215_paper_full_grid_1pct_noTE_A4_trailing_foldA,A4_trailing,paper_full_grid_1pct_noTE_A4_trailing_foldA,False,0.3492346090657321,0.7309933680417287,0.36364710069229506,0.7313848830347263,0.3413934441205707,0.7373967963661513
52,"A4 trailing windows (1, 2, 4, 8, 16, 24, 48, 96, 168)",B,0,/home/mykola/repos/kaggle_clicks/runs/20251225_025230_paper_full_grid_1pct_noTE_A4_trailing_foldB,A4_trailing,paper_full_grid_1pct_noTE_A4_trailing_foldB,False,0.33839247647611204,0.7361521524018017,0.36329979379870553,0.7264077782507425,0.3525874112539715,0.746122764152291
125,"A4 gap g=1 windows (1, 2, 4, 8, 16, 24, 48, 96, 168)",A,0,/home/mykola/repos/kaggle_clicks/runs/20251225_025312_paper_full_grid_1pct_noTE_A4_gap1_foldA,A4_gap1,paper_full_grid_1pct_noTE_A4_gap1_foldA,False,0.34721127076564656,0.7303012301160061,0.3661740306623776,0.7338725094243312,0.33941462149075463,0.7368164566973683
105,"A4 gap g=1 windows (1, 2, 4, 8, 16, 24, 48, 96, 168)",B,0,/home/mykola/repos/kaggle_clicks/runs/20251225_025325_paper_full_grid_1pct_noTE_A4_gap1_foldB,A4_gap1,paper_full_grid_1pct_noTE_A4_gap1_foldB,False,0.3384617168702685,0.736825211351646,0.36556196987748923,0.7287452473576262,0.3519227331183996,0.7449164595584981
197,"A4 bucket edges (1, 2, 4, 8, 16, 24, 48, 96, 168)",A,0,/home/mykola/repos/kaggle_clicks/runs/20251225_025422_paper_full_grid_1pct_noTE_A4_bucket_foldA,A4_bucket,paper_full_grid_1pct_noTE_A4_bucket_foldA,False,0.34403159928762245,0.7293875639720956,0.37205051960354263,0.7393252778620966,0.33855730680899765,0.7349025050447671
215,"A4 bucket edges (1, 2, 4, 8, 16, 24, 48, 96, 168)",B,0,/home/mykola/repos/kaggle_clicks/runs/20251225_025435_paper_full_grid_1pct_noTE_A4_bucket_foldB,A4_bucket,paper_full_grid_1pct_noTE_A4_bucket_foldB,False,0.3333154780211527,0.7324680671291084,0.3758431273493773,0.7377460830239086,0.3450375916125933,0.7412271698809383
126,"A4 calendar windows on trailing (1, 2, 4, 8, 16, 24, 48, 96, 168)",A,0,/home/mykola/repos/kaggle_clicks/runs/20251225_025539_paper_full_grid_1pct_noTE_A4_calendar_foldA,A4_calendar,paper_full_grid_1pct_noTE_A4_calendar_foldA,False,0.34972563243968324,0.7320890852912113,0.3677456847705477,0.7358957699177681,0.3413974160751432,0.7383009838337817
31,"A4 calendar windows on trailing (1, 2, 4, 8, 16, 24, 48, 96, 168)",B,0,/home/mykola/repos/kaggle_clicks/runs/20251225_025554_paper_full_grid_1pct_noTE_A4_calendar_foldB,A4_calendar,paper_full_grid_1pct_noTE_A4_calendar_foldB,False,0.3376970951520821,0.7346985718906063,0.3617559010882373,0.7248671107483345,0.3521749603332246,0.7455079380992823
143,A4 event windows last50,A,0,/home/mykola/repos/kaggle_clicks/runs/20251225_025651_paper_full_grid_1pct_noTE_A4_event50_foldA,A4_event50,paper_full_grid_1pct_noTE_A4_event50_foldA,False,0.34752838565309097,0.7310852703174392,0.36896422866956613,0.7364160887129655,0.34187736908707594,0.738435095284482
163,A4 event windows last50,B,0,/home/mykola/repos/kaggle_clicks/runs/20251225_025655_paper_full_grid_1pct_noTE_A4_event50_foldB,A4_event50,paper_full_grid_1pct_noTE_A4_event50_foldB,False,0.34101637505885973,0.7387315296230996,0.3712721362423952,0.7339878478274946,0.3539493350979222,0.7470807584397985
